#, Time, Mark, Alt, Max Alt, TrueH, MagH, Pitch, Roll, Temp, Wind, WMax, WErr 
136, 12:06:02, 0, 0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
137, 12:06:03, 0, 0.3, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
138, 12:06:04, 0, 0.3, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
139, 12:06:05, 0, 0.3, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
140, 12:06:06, 0, 0.3, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
141, 12:06:07, 0, 0.3, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
142, 12:06:08, 0, 0.5, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
143, 12:06:09, 0, 0.5, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
144, 12:06:10, 0, 0.6, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
145, 12:06:11, 0, 0.6, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
146, 12:06:12, 0, 0.6, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
147, 12:06:13, 0, 0.4, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
148, 12:06:14, 0, 0.4, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
149, 12:06:15, 0, 0.3, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
150, 12:06:16, 0, 0.2, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
151, 12:06:17, 0, 0.2, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
152, 12:06:18, 0, 0.2, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
153, 12:06:19, 0, 0.0, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
154, 12:06:20, 0, -0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
155, 12:06:21, 0, 0.0, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
156, 12:06:22, 0, 0.0, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
157, 12:06:23, 0, 0.0, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
158, 12:06:24, 0, -0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
159, 12:06:25, 0, -0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
160, 12:06:26, 0, -0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
161, 12:06:27, 0, -0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
162, 12:06:28, 0, -0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
163, 12:06:29, 0, 0.1, 2.1, 19.6, 6.6, 69.6, -59.1, 77.0, 0.1, 0.8, 0 
164, 12:06:30, 0, 0.4, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
165, 12:06:31, 0, 0.3, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
166, 12:06:32, 0, 0.4, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
167, 12:06:33, 0, 0.5, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
168, 12:06:34, 0, 0.7, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
169, 12:06:35, 0, 0.6, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
170, 12:06:36, 0, 0.6, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
171, 12:06:37, 0, 0.5, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
172, 12:06:38, 0, 0.3, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
173, 12:06:39, 0, 0.2, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
174, 12:06:40, 0, 0.1, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
175, 12:06:41, 0, -0.1, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
176, 12:06:42, 0, -0.2, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
177, 12:06:43, 0, -0.3, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
178, 12:06:44, 0, -0.2, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
179, 12:06:45, 0, -0.4, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
180, 12:06:46, 0, 0.5, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
181, 12:06:47, 0, 1.4, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
182, 12:06:48, 0, 1.2, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
183, 12:06:49, 0, 0.9, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
184, 12:06:50, 0, 1.1, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
185, 12:06:51, 0, 1.1, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
186, 12:06:52, 0, 1.2, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
187, 12:06:53, 0, 1.0, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
188, 12:06:54, 0, 0.7, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
189, 12:06:55, 0, 0.5, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
190, 12:06:56, 0, 0.5, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
191, 12:06:57, 0, 0.8, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
192, 12:06:58, 0, 0.8, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
193, 12:06:59, 0, 0.5, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
194, 12:07:00, 0, 0.3, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
195, 12:07:01, 0, 0.4, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
196, 12:07:02, 0, 0.3, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
197, 12:07:03, 0, 0.6, 2.1, 19.4, 6.4, 69.6, -59.3, 77.0, 0.1, 0.8, 0 
198, 12:07:04, 0, 0.9, 2.1, 19.4, 6.4, 69.6, -59.3, 77.0, 0.1, 0.8, 0 
199, 12:07:05, 0, 0.7, 2.1, 19.4, 6.4, 69.6, -59.3, 77.0, 0.1, 0.8, 0 
200, 12:07:06, 0, 0.8, 2.1, 19.4, 6.4, 69.6, -59.3, 77.0, 0.1, 0.8, 0 
201, 12:07:07, 0, 0.7, 2.1, 19.4, 6.4, 69.6, -59.3, 77.0, 0.1, 0.8, 0 
202, 12:07:08, 0, 0.7, 2.1, 19.4, 6.4, 69.6, -59.3, 77.0, 0.1, 0.8, 0 
203, 12:07:09, 0, 0.8, 2.1, 19.4, 6.4, 69.6, -59.3, 77.0, 0.1, 0.8, 0 
204, 12:07:10, 0, 1.1, 2.1, 19.4, 6.4, 69.6, -59.3, 77.0, 0.1, 0.8, 0 
205, 12:07:11, 0, 0.9, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
206, 12:07:12, 0, 1.3, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
207, 12:07:13, 0, 1.1, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
208, 12:07:14, 0, 1.0, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
209, 12:07:15, 0, 0.8, 2.1, 19.5, 6.5, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
210, 12:07:16, 0, 0.7, 2.1, 19.4, 6.4, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
211, 12:07:17, 0, 0.7, 2.1, 19.4, 6.4, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
212, 12:07:18, 0, 0.6, 2.1, 19.4, 6.4, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
213, 12:07:19, 0, 0.8, 2.1, 19.4, 6.4, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
214, 12:07:20, 0, 0.8, 2.1, 19.4, 6.4, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
215, 12:07:21, 0, 0.8, 2.1, 19.4, 6.4, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
216, 12:07:22, 0, 0.8, 2.1, 19.4, 6.4, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
217, 12:07:23, 0, 0.6, 2.1, 19.4, 6.4, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
218, 12:07:24, 0, 0.8, 2.1, 19.4, 6.4, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
219, 12:07:25, 0, 0.8, 2.1, 19.4, 6.4, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
220, 12:07:26, 0, 0.8, 2.1, 19.4, 6.4, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
221, 12:07:27, 0, 0.6, 2.1, 19.4, 6.4, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
222, 12:07:28, 0, 0.6, 2.1, 19.4, 6.4, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
223, 12:07:29, 0, 0.9, 2.1, 19.4, 6.4, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
224, 12:07:30, 0, 1.1, 2.1, 19.4, 6.4, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
225, 12:07:31, 0, 1.1, 2.1, 19.4, 6.4, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
226, 12:07:32, 0, 1.1, 2.1, 19.4, 6.4, 69.6, -59.2, 77.0, 0.1, 0.8, 0 
